question_id,question,language,expected_type,retrieval_mode,refusal,latency_ms,answer,faithfulness,context_precision,answer_compliance,refusal_appropriate,style_consistent
q001,什么是RAG技术？它的核心流程是什么？,zh,factual,hybrid-rerank,False,6795.8,"RAG 是 Retrieval-Augmented Generation（检索增强生成）的缩写。它是一种结合信息检索与大语言模型生成能力的技术，通过从外部知识库中检索相关文档片段，并将其作为上下文输入给大语言模型，从而显著降低模型幻觉，提高回答的事实准确性与可溯源性。

根据【来源: rag-intro.txt】，RAG 的核心流程分为三个阶段：

1. **文档入库**：将原始文档切分为语义完整的文本块，并利用 embedding 模型将每个文本块转换为向量，存入向量数据库；  
2. **向量检索**：将用户问题同样编码为向量，在向量数据库中进行相似度检索，召回最相关的若干个文本块；  
3. **答案生成**：将召回的文本块与用户问题拼接成提示词（prompt），交由大语言模型生成最终答案。

该技术相比纯生成式模型的优势包括：可引用外部知识、知识可实时更新、回答可溯源。",0.5,1.0,0.8,1.0,0.9
q002,How does Reciprocal Rank Fusion (RRF) work for hybrid search?,en,explanatory,hybrid-rerank,False,6122.1,"Reciprocal Rank Fusion (RRF) works for hybrid search by **fusing ranked result lists from multiple retrieval methods**—typically keyword-based and vector-based retrieval—into a single, unified ranking.

According to the knowledge base ([hybrid-search.txt]):

- RRF computes a **fusion score** for each document as the **sum of reciprocal ranks** across all input ranked lists.  
  Specifically, the RRF score for a document is:  
  \[
  \text{RRF score} = \sum_{i=1}^{n} \frac{1}{k + \text{rank}_i}
  \]  
  where:
  - \(\text{rank}_i\) is the position (1-based) of the document in the \(i\)-th ranked list,
  - \(k\) is a constant (commonly set to 60),
  - \(n\) is the number of lists containing the document.

- It is **parameter-free and training-free**, requiring no tuning or additional cost.
- It treats all input lists equally and **boosts documents that appear high-ranked in multiple lists**, naturally favoring those with strong signals from both keyword and semantic retrieval.

This makes RRF especially suitable for hybrid search, where keyword retrieval excels at exact matches (e.g., product codes, legal citations), and vector retrieval captures semantic relevance (e.g., paraphrased queries), and RRF robustly combines their complementary strengths.",0.5,1.0,0.8,1.0,0.9
q003,Spring AI框架提供了哪些主要功能？,zh,factual,hybrid-rerank,True,754.1,您的问题超出了知识库的范围，请提出与知识库内容相关的问题。,0.0,0.0,1.0,0.0,0.9
q004,Explain vector embedding and how it enables semantic search.,en,explanatory,hybrid-rerank,True,1082.0,您的问题超出了知识库的范围，请提出与知识库内容相关的问题。,0.0,0.0,1.0,0.0,0.9
q005,数据库索引有哪几种类型？分别适用于什么场景？,zh,factual,hybrid-rerank,True,681.2,您的问题超出了知识库的范围，请提出与知识库内容相关的问题。,0.0,0.0,1.0,0.0,0.9
q006,What is the difference between dense and sparse retrieval?,en,comparison,hybrid-rerank,True,717.7,您的问题超出了知识库的范围，请提出与知识库内容相关的问题。,0.0,0.0,1.0,0.0,0.9
q007,如何评估一个RAG系统的质量？需要关注哪些指标？,zh,explanatory,hybrid-rerank,False,13112.5,"评估一个 RAG 系统的质量需从**准确性、可靠性、安全性与运维可观测性**四个维度综合考量。根据【文档内容】，具体应关注以下指标：

---

✅ **一、核心质量指标（源自 rag-intro.txt）**  
- **检索召回率（Recall）**：衡量检索阶段能否有效召回与问题真正相关的真实文档片段（虽未明确定义，但“检索召回率”被列为常见技术挑战，隐含其关键性）。  
- **答案事实准确性（Factuality）**：RAG 的核心优势在于“降低模型幻觉”“提高回答的事实准确性”，因此需通过人工或自动化方式评估生成答案是否忠实于检索到的上下文。  
- **可溯源性（Traceability）**：答案是否能明确引用/标注所依据的原始知识库片段（RAG 相比纯生成式模型的显著优势之一）。

✅ **二、运维与可观测性指标（源自 compliance.txt）**  
- **请求延迟分位数（如 P95、P99 延迟）**：反映系统响应性能。  
- **Token 用量**：监控输入（问题+检索文本）与输出的 token 消耗，用于成本控制与性能优化。  
- **缓存命中率**：衡量检索或生成环节缓存机制的有效性，影响延迟与资源开销。  
- **拒答率（Refusal Rate）**：系统因“检索置信度不足”或“检测到违规关键词”而主动拒答的比例，是安全合规的重要体现。

✅ **三、安全与合规指标（源自 compliance.txt）**  
- **敏感信息脱敏达标率**：检查生成结果中身份证号、手机号、邮箱等 PII 是否均完成掩码处理（如 `138****1234`），确保无原始敏感数据泄露。  
- **越权访问拦截率**：虽未给出量化定义，但要求系统对越权问题“拒答”，需设计测试用例验证权限控制有效性。

---

⚠️ 注意：文档中未提及传统 NLP 指标（如 BLEU、ROUGE），也未涉及用户满意度（CSAT）、人工评估占比等主观指标，因此**依据本知识库，不将这些作为推荐指标**。

综上，推荐重点关注：**召回率、事实准确性、可溯源性、P95 延迟、Token 用量、缓存命中率、拒答率、PII 脱敏达标率**。",0.667,0.87,0.8,1.0,0.9
q008,What is prompt injection and how to defend against it?,en,safety,hybrid-rerank,True,667.9,您的问题超出了知识库的范围，请提出与知识库内容相关的问题。,0.0,0.0,1.0,0.0,0.9
q009,Elasticsearch的倒排索引原理是什么？,zh,factual,hybrid-rerank,False,1272.6,该知识库中暂无相关信息。,0.0,0.0,0.3,1.0,0.5
q010,Compare PostgreSQL pgvector with dedicated vector databases like Milvus.,en,comparison,hybrid-rerank,True,715.8,您的问题超出了知识库的范围，请提出与知识库内容相关的问题。,0.0,0.0,1.0,0.0,0.9
q011,什么是TokenTextSplitter？chunk size和overlap如何选择？,zh,factual,hybrid-rerank,True,693.3,您的问题超出了知识库的范围，请提出与知识库内容相关的问题。,0.0,0.0,1.0,0.0,0.9
q012,How to handle multi-turn conversations in a RAG system?,en,explanatory,hybrid-rerank,False,4638.3,"The provided knowledge base does **not explicitly describe how to handle multi-turn conversations in a RAG system**.

The document `rag-intro.txt` explains the core RAG pipeline — document ingestion, vector retrieval, and answer generation — and highlights advantages like external knowledge grounding and traceability. However, it does **not address conversation history management**, session state, or techniques for incorporating prior turns (e.g., query rewriting, history-aware retrieval, or dialogue context injection).

While `七周七并发模型.pdf` discusses session handling (e.g., `(create-session)`, `:snippets`, `:translations`, and route `/session/create`), this is in the context of a Clojure-based transcript handler — **not a RAG system**, and no link is made between those session mechanisms and RAG components (e.g., retrieval or generation with conversational context).

Therefore, **the knowledge base contains no information on multi-turn conversation handling specifically within a RAG architecture**.

✅ Answer: **The knowledge base does not provide information on handling multi-turn conversations in a RAG system.**",1.0,0.916,0.8,1.0,0.9
q013,通义千问（Qwen）大模型有哪些主要特点？,zh,factual,hybrid-rerank,True,709.2,您的问题超出了知识库的范围，请提出与知识库内容相关的问题。,0.0,0.0,1.0,0.0,0.9
